case_id,transaction_id,order_id,payment_rail,network,normalized_category,dispute_amount_inr,currency,country,transaction_date,filing_delay_days,dispute_filed_date,is_tokenized,otp_entry_duration_sec,previous_successful_orders,previous_refunds,previous_chargebacks,total_evidence,relevant_evidence_count,required_evidence_count,contradictory_evidence_count,merchant_representment_won,bank_rrn_match,delivery_otp_verified,ip_geo_match,sim_swap_flag_48h,transaction_record_match,post_dispute_activity,representment_fee_inr,false_positive_cost_inr,false_negative_cost_inr,dataset_split
CB_IN_2026_03980,TXN_178605833564,ORD_6396530299,CARD,VISA,FRAUD_UNAUTHORIZED,1925.32,INR,IN,2026-01-01,1,2026-01-02,True,22,2,1,0,8,5,2,0,0,False,True,False,False,True,True,1200,1700,1925.32,train
CB_IN_2026_09023,TXN_536951296308,ORD_5633999777,UPI,UPI_NPCI,SERVICE_NOT_PROVIDED,2427.9,INR,IN,2026-01-01,3,2026-01-04,True,22,2,1,0,5,3,1,0,0,True,True,True,True,True,True,300,800,2427.9,train
CB_IN_2026_02317,TXN_787668448079,ORD_5798295825,UPI,UPI_NPCI,FRAUD_UNAUTHORIZED,2445.45,INR,IN,2026-01-03,1,2026-01-04,True,6,0,0,0,10,8,2,0,0,True,False,False,False,True,False,300,800,2445.45,train
CB_IN_2026_07937,TXN_305961850726,ORD_6822582520,CARD,RUPAY,ITEM_NOT_RECEIVED,1458.0,INR,IN,2026-01-03,1,2026-01-04,True,30,2,0,0,8,6,2,0,0,True,True,True,False,False,False,300,800,1458.0,train
CB_IN_2026_03080,TXN_299757026302,ORD_4941580635,CARD,VISA,FRAUD_UNAUTHORIZED,426.17,INR,IN,2026-01-01,3,2026-01-04,True,8,0,1,0,5,3,2,0,0,False,False,False,False,True,True,1200,1700,426.17,train
CB_IN_2026_02832,TXN_516519044035,ORD_1445229226,UPI,UPI_NPCI,ITEM_NOT_RECEIVED,123.37,INR,IN,2026-01-01,4,2026-01-05,False,4,5,1,0,9,7,2,0,0,True,False,True,False,True,True,300,800,123.37,train
CB_IN_2026_07057,TXN_226324901311,ORD_9328883156,UPI,UPI_NPCI,SERVICE_NOT_PROVIDED,19145.99,INR,IN,2026-01-02,5,2026-01-07,True,5,5,1,0,9,6,1,0,0,False,True,True,False,True,False,300,800,19145.99,train
CB_IN_2026_06765,TXN_678599491860,ORD_9928110264,CARD,MASTERCARD,FRAUD_UNAUTHORIZED,6189.39,INR,IN,2026-01-02,5,2026-01-07,True,23,0,0,0,10,6,2,1,0,True,True,False,False,True,True,1200,1700,6189.39,train
CB_IN_2026_08109,TXN_641975428658,ORD_8503078985,CARD,VISA,FRAUD_UNAUTHORIZED,17899.41,INR,IN,2026-01-02,6,2026-01-08,True,2,4,1,0,8,5,2,0,0,False,True,True,False,False,True,1200,1700,17899.41,train
CB_IN_2026_05255,TXN_888234969607,ORD_1638139273,CARD,RUPAY,SERVICE_NOT_PROVIDED,2765.96,INR,IN,2026-01-01,7,2026-01-08,True,27,2,0,0,9,6,1,0,0,False,True,True,False,True,False,300,800,2765.96,train
CB_IN_2026_02644,TXN_361945317205,ORD_4737677145,UPI,UPI_NPCI,ITEM_NOT_RECEIVED,8613.59,INR,IN,2026-01-06,2,2026-01-08,True,23,8,0,0,8,5,2,0,1,True,True,True,False,False,False,300,800,8613.59,train
CB_IN_2026_00492,TXN_687189750868,ORD_9550793640,UPI,UPI_NPCI,FRAUD_UNAUTHORIZED,3566.76,INR,IN,2026-01-01,7,2026-01-08,False,13,1,0,1,8,4,2,0,0,True,False,True,True,True,True,300,800,3566.76,train
CB_IN_2026_04952,TXN_314118897997,ORD_5112210856,CARD,RUPAY,DUPLICATE_TRANSACTION,453.3,INR,IN,2026-01-01,8,2026-01-09,True,9,6,2,0,7,4,1,0,1,True,True,True,False,True,False,300,800,453.3,train
CB_IN_2026_00084,TXN_120440865820,ORD_6902312844,UPI,UPI_NPCI,FRAUD_UNAUTHORIZED,915.83,INR,IN,2026-01-08,1,2026-01-09,False,16,0,0,0,11,7,2,0,0,False,True,False,False,True,False,300,800,915.83,train
CB_IN_2026_08112,TXN_951899399216,ORD_7118905665,CARD,AMERICAN_EXPRESS,FRAUD_UNAUTHORIZED,778.47,INR,IN,2026-01-03,6,2026-01-09,True,34,0,0,1,7,3,2,0,1,True,True,False,False,False,False,1200,1700,778.47,train
CB_IN_2026_01641,TXN_188009197700,ORD_1688601239,CARD,VISA,DUPLICATE_TRANSACTION,313.85,INR,IN,2026-01-03,6,2026-01-09,False,40,5,0,0,6,4,1,1,1,True,False,True,False,True,True,1200,1700,313.85,train
CB_IN_2026_08336,TXN_845238845555,ORD_3749789804,CARD,MASTERCARD,REFUND_NOT_RECEIVED,667.75,INR,IN,2026-01-02,7,2026-01-09,True,39,2,1,0,4,2,1,0,1,True,True,True,False,True,False,1200,1700,667.75,train
CB_IN_2026_05987,TXN_440213596602,ORD_6210400521,CARD,MASTERCARD,ITEM_NOT_RECEIVED,1393.72,INR,IN,2026-01-03,7,2026-01-10,False,16,4,0,0,6,3,2,0,0,False,True,True,False,False,True,1200,1700,1393.72,train
CB_IN_2026_01802,TXN_221571812995,ORD_7324419177,UPI,UPI_NPCI,ITEM_NOT_RECEIVED,3422.09,INR,IN,2026-01-09,1,2026-01-10,True,44,5,0,0,8,6,2,0,1,True,True,True,False,True,True,300,800,3422.09,train
CB_IN_2026_09684,TXN_226801775591,ORD_4719961478,CARD,RUPAY,FRAUD_UNAUTHORIZED,884.86,INR,IN,2026-01-02,8,2026-01-10,True,24,3,0,0,7,4,2,0,0,True,True,False,False,False,False,300,800,884.86,train
CB_IN_2026_00355,TXN_570368597961,ORD_7122546089,CARD,RUPAY,FRAUD_UNAUTHORIZED,7113.47,INR,IN,2026-01-04,6,2026-01-10,True,12,0,0,0,8,4,2,0,0,False,True,False,False,True,True,300,800,7113.47,train
CB_IN_2026_01122,TXN_849276356431,ORD_7087313153,CARD,MASTERCARD,ITEM_NOT_RECEIVED,4691.55,INR,IN,2026-01-05,5,2026-01-10,True,13,1,1,0,6,4,2,1,0,True,True,True,True,True,False,1200,1700,4691.55,train
CB_IN_2026_06943,TXN_636922409842,ORD_9799688698,UPI,UPI_NPCI,ITEM_NOT_RECEIVED,2923.05,INR,IN,2026-01-01,10,2026-01-11,False,12,1,1,2,7,4,2,1,0,True,True,True,False,True,True,300,800,2923.05,train
CB_IN_2026_01279,TXN_630398049514,ORD_3757520253,CARD,RUPAY,REFUND_NOT_RECEIVED,258.61,INR,IN,2026-01-06,5,2026-01-11,False,36,4,0,0,5,2,1,0,1,True,False,True,False,True,False,300,800,258.61,train
CB_IN_2026_08918,TXN_880773596297,ORD_1194627135,CARD,RUPAY,NOT_AS_DESCRIBED,685.67,INR,IN,2026-01-07,4,2026-01-11,True,8,3,1,0,7,5,2,1,1,False,True,True,False,True,True,300,800,685.67,train
CB_IN_2026_00292,TXN_932357682116,ORD_8613927172,CARD,VISA,ITEM_NOT_RECEIVED,4061.2,INR,IN,2026-01-01,11,2026-01-12,True,5,1,1,0,6,4,2,0,1,True,True,True,False,True,True,1200,1700,4061.2,train
CB_IN_2026_02696,TXN_837692397581,ORD_7225463012,CARD,RUPAY,FRAUD_UNAUTHORIZED,4216.07,INR,IN,2026-01-06,6,2026-01-12,True,9,3,1,0,10,8,2,0,1,False,True,True,False,False,True,300,800,4216.07,train
CB_IN_2026_05622,TXN_677481111020,ORD_3716144317,CARD,VISA,DUPLICATE_TRANSACTION,322.79,INR,IN,2026-01-06,6,2026-01-12,False,15,2,0,1,7,4,1,0,0,True,False,False,False,False,False,1200,1700,322.79,train
CB_IN_2026_07259,TXN_145858580250,ORD_7086537535,CARD,RUPAY,REFUND_NOT_RECEIVED,722.63,INR,IN,2026-01-08,5,2026-01-13,True,1,5,0,0,7,4,1,0,1,True,True,True,False,True,True,300,800,722.63,train
CB_IN_2026_05846,TXN_947209579342,ORD_3815629963,UPI,UPI_NPCI,REFUND_NOT_RECEIVED,1934.51,INR,IN,2026-01-04,9,2026-01-13,True,16,4,0,1,5,2,1,0,1,False,False,False,False,True,True,300,800,1934.51,train
CB_IN_2026_05824,TXN_429595376320,ORD_4308807185,UPI,UPI_NPCI,FRAUD_UNAUTHORIZED,1361.23,INR,IN,2026-01-08,5,2026-01-13,True,23,0,0,0,7,4,2,0,0,True,True,False,False,True,False,300,800,1361.23,train
CB_IN_2026_04609,TXN_975930391087,ORD_9784922570,UPI,UPI_NPCI,REFUND_NOT_RECEIVED,91.74,INR,IN,2026-01-08,5,2026-01-13,False,32,1,0,0,7,4,1,0,1,True,True,False,False,True,False,300,800,91.74,train
CB_IN_2026_02055,TXN_531818652479,ORD_6020012572,CARD,RUPAY,NOT_AS_DESCRIBED,2631.33,INR,IN,2026-01-02,11,2026-01-13,False,12,3,0,0,8,5,2,0,1,False,True,True,False,True,True,300,800,2631.33,train
CB_IN_2026_06298,TXN_350974862414,ORD_3015335822,CARD,VISA,NOT_AS_DESCRIBED,338.98,INR,IN,2026-01-08,5,2026-01-13,False,39,8,1,1,10,7,2,0,0,True,False,True,False,False,False,1200,1700,338.98,train
CB_IN_2026_02873,TXN_324593358344,ORD_7974464032,CARD,RUPAY,FRAUD_UNAUTHORIZED,4596.54,INR,IN,2026-01-04,9,2026-01-13,False,6,3,0,1,10,7,2,0,1,True,True,True,False,True,True,300,800,4596.54,train
CB_IN_2026_00479,TXN_470629806927,ORD_9065304110,CARD,RUPAY,ITEM_NOT_RECEIVED,70.81,INR,IN,2026-01-13,1,2026-01-14,True,22,4,2,0,9,6,2,0,1,False,True,True,False,True,False,300,800,70.81,train
CB_IN_2026_02867,TXN_601240349092,ORD_7131649283,CARD,VISA,FRAUD_UNAUTHORIZED,18487.7,INR,IN,2026-01-04,10,2026-01-14,True,32,5,1,0,7,4,2,0,0,True,True,True,False,False,True,1200,1700,18487.7,train
