case_id,bank_rrn_match_true,delivery_otp_verified_true,ip_geo_match_true,sim_swap_flag_48h_true,transaction_record_match_true,post_dispute_activity_true,account_pattern_consistent_true,_hidden_bank_leniency,_hidden_cardholder_counter,base_win_prob,noisy_win_prob,merchant_representment_won
CB_IN_2026_03980,True,False,True,False,False,False,True,0.4549519701209472,0.5636526100995682,0.49644250250925426,0.5233506635035085,0
CB_IN_2026_09023,True,False,True,False,False,False,True,0.35586737902187565,0.3510656054028282,0.15159752494234224,0.17859404225060785,0
CB_IN_2026_02317,True,True,False,False,True,False,False,0.3351132233888218,0.6338265993848183,0.02,0.048860593194288204,0
CB_IN_2026_07937,False,True,False,False,False,False,True,0.12732739609446636,0.3959896745885621,0.7896803200724797,0.7935525048244141,1
CB_IN_2026_03080,True,True,False,False,True,True,False,0.21631426791856584,0.3936713583628358,0.02,0.03613560996693693,0
CB_IN_2026_02832,True,False,True,False,True,True,True,0.16165720811012196,0.49197706950890224,0.034201158022324415,0.02,0
CB_IN_2026_07057,True,True,True,False,True,True,True,0.2257245802591236,0.20286904784407822,0.850800044846687,0.8656443679964795,1
CB_IN_2026_06765,True,True,True,False,True,False,False,0.3017329061051241,0.7665996762181492,0.02,0.021096058592114178,0
CB_IN_2026_08109,True,True,True,False,True,False,True,0.036627051348985556,0.5759315775825278,0.02,0.11768257746443787,0
CB_IN_2026_05255,True,True,True,False,True,False,True,0.14652076772646241,0.4449465378042111,0.11708783834675437,0.14318033177400874,0
CB_IN_2026_02644,False,False,True,False,True,False,True,0.26568454741360154,0.2680165554872708,0.0690804901409051,0.06043519515113489,0
CB_IN_2026_00492,True,True,True,False,True,False,True,0.19926006022376871,0.2930755547457741,0.48589067883288767,0.5123896703100302,1
CB_IN_2026_04952,True,True,True,False,True,True,True,0.20327845206640546,0.595419811447465,0.8288514331032222,0.7687338818900198,1
CB_IN_2026_00084,True,True,True,False,False,True,False,0.35541010302753556,0.26050105525105843,0.05200686231784835,0.130728937959985,0
CB_IN_2026_08112,True,False,True,False,True,False,True,0.36897712025901974,0.4649431883063027,0.4940539458058586,0.5247482734586347,0
CB_IN_2026_01641,True,False,True,False,True,True,True,0.37618702227458445,0.22068835412789675,0.8870736072601605,0.8825987848561055,1
CB_IN_2026_08336,True,False,False,False,True,True,True,0.29093348697394567,0.2797076740010411,0.8709412510367693,0.8105378137115227,0
CB_IN_2026_05987,True,True,True,False,True,True,True,0.4505897327810434,0.5348652244118787,0.8145842454925373,0.8622663711284957,1
CB_IN_2026_01802,True,True,True,False,True,True,True,0.3957969189888738,0.7515767128047165,0.7863379589981931,0.6674672881197282,1
CB_IN_2026_09684,True,True,True,False,True,False,True,0.37519061666813863,0.2716510213261163,0.5242904701347103,0.5586420536205329,0
CB_IN_2026_00355,True,False,False,False,True,False,False,0.2010129094742087,0.29309438387875103,0.02,0.09485066243891993,0
CB_IN_2026_01122,True,True,True,False,True,True,True,0.018897612268038103,0.1905366756842113,0.7972140459037435,0.8398828171543354,1
CB_IN_2026_06943,True,True,True,False,True,True,True,0.4387552594597419,0.34583206373092656,0.8320674247620764,0.8158834761157636,0
CB_IN_2026_01279,True,True,True,False,True,False,True,0.6433361737494342,0.9482285990415389,0.8463774809457782,0.8068345050682437,0
CB_IN_2026_08918,False,True,True,False,True,True,True,0.06062883633086893,0.42570170504976923,0.8487052898547274,0.8394874498214167,0
CB_IN_2026_00292,False,True,True,False,False,False,True,0.26871715996820295,0.5713656223966797,0.7891094969565163,0.7937147992595281,1
