evidence_id,case_id,transaction_id,order_id,normalized_category,reason_code,evidence_type,document_text,is_required,is_relevant,is_contradictory,evidence_strength_score,evidence_quality_score,ground_truth_rank,dataset_split
CB_IN_2026_00000_EV_00,CB_IN_2026_00000,TXN_796560443700,ORD_7486555480,ITEM_NOT_RECEIVED,1064,DELIVERY_TRACKING,Courier tracking record for order ORD_7486555480 confirms dispatch and transit.,True,True,False,0.8991,0.8754,1,validation
CB_IN_2026_00000_EV_01,CB_IN_2026_00000,TXN_796560443700,ORD_7486555480,ITEM_NOT_RECEIVED,1064,PROOF_OF_DELIVERY,Carrier proof of delivery confirmation generated for order ORD_7486555480.,True,True,False,0.9694,1.0,1,validation
CB_IN_2026_00000_EV_02,CB_IN_2026_00000,TXN_796560443700,ORD_7486555480,ITEM_NOT_RECEIVED,1064,CUSTOMER_COMMUNICATION,Customer communication logs regarding order ORD_7486555480 for chargeback reason code 1064.,False,True,False,0.7607,0.7298,2,validation
CB_IN_2026_00000_EV_03,CB_IN_2026_00000,TXN_796560443700,ORD_7486555480,ITEM_NOT_RECEIVED,1064,INVOICE,Tax Invoice generated for order ORD_7486555480 with price breakdown. Total: INR 542.50.,False,True,False,0.6269,0.5684,2,validation
CB_IN_2026_00000_EV_04,CB_IN_2026_00000,TXN_796560443700,ORD_7486555480,ITEM_NOT_RECEIVED,1064,ORDER_CONFIRMATION,Order ORD_7486555480 confirmed and receipt dispatched to registered email. Total: INR 542.50.,False,True,False,0.8194,0.8582,2,validation
CB_IN_2026_00000_EV_05,CB_IN_2026_00000,TXN_796560443700,ORD_7486555480,ITEM_NOT_RECEIVED,1064,TERMS_AND_CONDITIONS,Merchant terms of service and fulfillment policy accepted at checkout.,False,True,False,0.8935,0.8348,2,validation
CB_IN_2026_00000_EV_06,CB_IN_2026_00000,TXN_796560443700,ORD_7486555480,ITEM_NOT_RECEIVED,1064,DELIVERY_OTP,Delivery OTP verified at destination for order ORD_7486555480.,False,True,False,0.5864,0.512,2,validation
CB_IN_2026_00000_EV_07,CB_IN_2026_00000,TXN_796560443700,ORD_7486555480,ITEM_NOT_RECEIVED,1064,SIGNED_DELIVERY,Signed proof of delivery receipt on file for order ORD_7486555480.,False,True,False,0.7199,0.697,2,validation
CB_IN_2026_00000_EV_08,CB_IN_2026_00000,TXN_796560443700,ORD_7486555480,ITEM_NOT_RECEIVED,1064,LOGIN_LOG,Customer account login activity authenticated before transaction TXN_796560443700.,False,False,False,0.0648,0.0,0,validation
CB_IN_2026_00000_EV_09,CB_IN_2026_00000,TXN_796560443700,ORD_7486555480,ITEM_NOT_RECEIVED,1064,DEVICE_LOG,Device fingerprint and MAC recorded during transaction TXN_796560443700. Device history confirms previous account usage.,False,False,False,0.2798,0.0614,0,validation
