index,case_id,category,network,payment_rail,amount_inr,win_prob,expected_value_inr,decision,evidence_items,md_file,pdf_file,pdf_size_kb
1,CB_IN_2026_04496,REFUND_NOT_RECEIVED,RUPAY,CARD,544.67,0.8063844084739685,284.3209225426913,FIGHT,4,CB_IN_2026_04496_RUPAY_1061.md,CB_IN_2026_04496_RUPAY_1061.pdf,271.455078125
2,CB_IN_2026_08888,SERVICE_NOT_PROVIDED,UPI_NPCI,UPI,2594.29,0.1273353472352028,-367.7869042330235,CONCEDE,7,CB_IN_2026_08888_UPI_NPCI_1064.md,CB_IN_2026_08888_UPI_NPCI_1064.pdf,271.630859375
3,CB_IN_2026_04568,REFUND_NOT_RECEIVED,UPI_NPCI,UPI,76.76,0.7362169981002807,-154.51438474559785,CONCEDE,8,CB_IN_2026_04568_UPI_NPCI_1061.md,CB_IN_2026_04568_UPI_NPCI_1061.pdf,271.81640625
4,CB_IN_2026_02755,DUPLICATE_TRANSACTION,UPI_NPCI,UPI,956.31,0.7306614398956299,483.26799350309375,FIGHT,6,CB_IN_2026_02755_UPI_NPCI_1084.md,CB_IN_2026_02755_UPI_NPCI_1084.pdf,244.06640625
5,CB_IN_2026_07980,ITEM_NOT_RECEIVED,UPI_NPCI,UPI,1736.61,0.8027176976203918,1236.181738960862,FIGHT,10,CB_IN_2026_07980_UPI_NPCI_1064.md,CB_IN_2026_07980_UPI_NPCI_1064.pdf,271.7607421875
6,CB_IN_2026_06572,SUBSCRIPTION_CANCELED,UPI_NPCI,UPI,117.26,0.34985268115997314,-479.09412967920304,CONCEDE,4,CB_IN_2026_06572_UPI_NPCI_1062.md,CB_IN_2026_06572_UPI_NPCI_1062.pdf,271.25
7,CB_IN_2026_02782,FRAUD_UNAUTHORIZED,AMERICAN_EXPRESS,CARD,13103.05,0.030215374380350112,-1252.7203022789583,CONCEDE,7,CB_IN_2026_02782_AMERICAN_EXPRESS_F24.md,CB_IN_2026_02782_AMERICAN_EXPRESS_F24.pdf,245.169921875
8,CB_IN_2026_00794,FRAUD_UNAUTHORIZED,UPI_NPCI,UPI,699.29,0.3263344168663025,-310.73007213652136,CONCEDE,10,CB_IN_2026_00794_UPI_NPCI_128.md,CB_IN_2026_00794_UPI_NPCI_128.pdf,245.3212890625
9,CB_IN_2026_01921,FRAUD_UNAUTHORIZED,UPI_NPCI,UPI,827.28,0.3951167166233063,-157.03446937322616,CONCEDE,11,CB_IN_2026_01921_UPI_NPCI_128.md,CB_IN_2026_01921_UPI_NPCI_128.pdf,245.376953125
10,CB_IN_2026_08906,DUPLICATE_TRANSACTION,RUPAY,CARD,733.69,0.7174237966537476,300.3057026898862,FIGHT,6,CB_IN_2026_08906_RUPAY_1084.md,CB_IN_2026_08906_RUPAY_1084.pdf,244.2353515625
